,global_seq,global_emo,local_seq,local_emo
17,"Hi Bill, I saw your grandma yesterday. Oh where was that? I was running around the track at my college and there she was walking around the same track. Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods.",0,"Well, it pays off for her.How old is she anyway?",0
18,"I would like to register for a class today. No problem, what class would you like to take? I would very much enjoy taking a Psychology class.Because I'm crazy. There are two classes that are still open.",0,Which days are these classes on?,0
19,The first class is a Tuesday and Thursday class from two to three. What about the other class? The other class is on Monday and Wednesday from 10 am - 12. Are you sure there are no more open classes?,0,I'm positive.,0
20,"Hi, my name is Lean, and I'm from Russia. Nice to meet you, Lean. My name is Alike. I'm from Japan. To me English is a difficult language. A second language is always difficult.",0,"True, but English is harder than most. It's a crazy language.",0
21,"Can I help you? I hope so. I'm looking for some material for a paper I'm writing, and I'm not quite sure where to look. I'll certainly try to help you. What topic is your paper on? My paper is on the influence of television on children.",0,There are several possible sources you might use for that topic. I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television.,0
22,"Here’ s your hot dog and beer. What happened? Did I miss anything? Yeah, Cal Ripen just hit a home run. What’ s the score? Well it was 3 to 4, but Ripen’ s home run made it 5 to 4 since another player was on first base.",0,So Baltimore is winning?,0
23,"Right. This is a really great place to watch a baseball game. Yeah, there isn’ t a bad seat in the place. The fans are great here, too. Not like in Philadelphia.",4,It was a great idea to spend a day watching a game.,4
24,Excuse me. Could you please take a picture of us with this camera? Sure. Which button do I press to shoot? This one. Do I have to focus it?,0,"No, this is a focus-free camera. All you have to do is point and press the button.",0
25,"How do you do, Prof.Smith. How do you do, Ms. Yang.You speak very good English. Thank you. I begin to like English even when I was a child. Where did you learn it?",0,"At school, in China.This is my first time to be out of my own country.",0
26,"Do you want black or white coffee? White, please Look! there's a Folk concert tomorrow evening. Do you Want to go? I don't like Folk music very much.",0,What kind of music do you like?,0
27,I like classical music. Do you? Not very much. Classical music sends me to sleep I don't believe you. It’ s true.,0,You are funny!,0
28,What do you like to do in your spare time? I like playing chess. Do you have any hobbies besides playing chess? I'm afraid not.,0,Do you have any hobbies like playing tennis or things like that?,0
29,"Can I help you? I hope so. I'm looking for some material for a paper I'm writing, and I'm not quite sure where to look. I'll certainly try to help you.What topic is your paper on? My paper is on the influence of television on children.",0,There are several possible sources you might use for that topic. I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television.,0
30,"Hey, Ted. What are you up to this Friday? Well, I have the day off from work. That’ s great! Do you have any plans? Well, I’ Ve been working so hard lately, so I’ ll probably just take it easy.",0,Sounds nice.,4
31,"You honestly believe the world’ s improving every year? Yes, I do. I think that science is making us wiser. What do you think? I don’ t think you’ re right there. I believe industry is making us wealthier.",0,I don’ t believe that.,0
32,How may I help you? I would like to return this book. Is that all you need? I also want to check out this video.,0,Is that all you would like to check out?,0
33,That’ s all I need. Do you have your library card? Here it is. Make sure to take proper care of this video.,0,That won’ t be a problem.,0
34,"What's the matter with you then? You look miserable. It's us. What do you mean by us. Well, you always say you're busy.",0,That's right.,0
35,"And you often go back to live with your parents and leave our son in the room by himself. I... I... I miss my parents, also they miss me. Oh I remember, I cut terrible calls, and you didn't say anything about it. You mean I am groaned a few words?",0,Totally not. Perhaps it's about our marriage.,0
36,"I feel like going for a drink, it's been a long day. Great idea! Peter, I could use the drink. How about the new bar across road? Sounds good. The food there is fantastic, too.",4,"I agree, I had lunch there last week.",4
37,"does your family have a record of your ancestors? sure. My mom has been working on our family tree for years. She’ s always updating it. do you have a copy of your family tree in your house? I’ d love to see it. I can show it to you now, if you like. I think it goes back about 8 generations so far.",0,that’ s amazing. Do you have a large extended family?,0
38,"I’ Ve got 30 cousins on my mom’ s side and 10 cousins on my dad’ s side. are you very close to your first-cousins? the ones that are my age are close relatives. Now that I’ m older, I don’ t spend as much time with them as I used to, so I don’ t know my younger cousins as well as the older ones. I see. who’ s the head of your household?",0,"it’ s definitely my mother. And, her mother is definitely the matriarch of the bigger family.",0
39,"Hi, Mr. Wang. Do you feel like going boating with me? Sounds interesting, I haven't gone boating for some time now, and what time? How about tomorrow afternoon? Sure. Where shall I meet you?",4,At the gate of the park.,4
40,"I hear that you've been to the Saikei Ski Resort for the weekend. Did you enjoy it? Yes, it's so exciting, though I had the most falls in our skiing team. Isn't there any coach to teach you how to ski? Of course there is. The top-level coaches there are from the State Sports General Administration.",0,Could you move smoothly?,0
41,"Hey, Maggy, Did you hear about David? About David? No, I didn’ t hear anything. You know, about David and his new boss. Sorry, I don’ t quite follow you.",0,"Well, I heard David has been fired.",0
42,"how do you usually get to school? I usually ride my bike. Which form of transport do you prefer to use? I feel that I can see more when I pedal a bicycle, but when I feel lazy, I drive my car. I think we should discourage people from using their private cars. They produce too much pollution!",0,"I agree, but I would find it difficult to stop using my car. It's just so convenient.",0
43,"cars might be convenient, but they're so bad for the environment. do you have a car? no. I used to have one though. Once I started using my bicycle to get around, I found that I didn't really need it. maybe if I sold my car now, I wouldn't be so tempted to use it.",0,you could try. It would save you a lot of money.,0
44,"that's true. Every month, I spend hundreds of dollars on gas, insurance, and repairs. if you got to class by riding a bicycle every day instead of driving, you will get lots of exercise, too! I could stand to lose a few pounds. Having a car has made me lazy. I never end up walking anywhere! let's go to a car dealership. I'll help you try to sell your car for a good price.",0,sounds good! Let's go!,0
45,"What are you going to do for one year abroad, Tom? Study, study, study. I want to learn a lot. You are going to take courses? Yes. I am going to take some university courses there.",0,Sounds hard.,0
46,"Isn't this lovely weather? Will you help me water the flowers, Jack? Well, do you think I have to? I do.We haven't watered them for quite a few days. Please look at the sky.Don ' t you see the dark clouds? It's going to rain soon.",0,Good.So we don't have to work.How nice!,4
47,"On, darn. The grocery store is closed. Yeah, this one closes at ten. We could drive to the 24 - hour store on sixth. Alright. We are out of everything. I wish the store close to us was open 24 - house a day.",0,"I know, our schedules are so weird. Sometimes, the little corner store is the only thing within walking distance that’ s open when we get home.",0
48,"Dad, where are we off to? First we will go to the city centre and stop for something to drink. Then we will visit the University Museum. Where are we going to have a drink? There is a coffee shop round the corner. Can you see that big building at the end of the road?",0,Yes?,0
49,That is a bank. The coffee shop is opposite the bank. Good. I will have hot chocolate. A stop! Wait for the lights to turn green. When crossing the road you must always pay attention to what's around you.,0,Sorry. How far is the museum?,0
50,"How about going to the cinema tonight? That's great. What's on tonight? I am not sure about the name of the film, but I know it's a romantic one. Romantic? I am afraid I like thrillers better.",0,Don't you think it's too bloody?,0
51,"I have made up my mind. I am getting a tattoo. Really? Are you sure? Yeah! Why not? They are trendy and look great! I want to get a dragon on my arm or maybe a tiger on my back. Yeah but, it is something that you will have forever! They use indelible ink that can only be removed with laser treatment. On top of all that, I have heard it hurts a lot!",0,Really?,6
52,"Excuse me, what's the screen near your steering wheel for? It's a portable TV. It's a popular thing now. Oh, that's new to me. So what's on everyday? News about current affairs, documentaries, music, movies, noncommercial ads and so on.",0,Is there anything interesting?,0
53,"Yes, there are something good and informative. I think that many people underestimate the value of TV in education. I agree. Are there any commercials on the TV? Of course. Because the TV stations need to make money from commercials between the programs. That makes a lot of sense. Does the TV work well?",0,Not always. It depends on the transmission of the satellite signals.,0
54,"Oh, no! How dreadful! Look at the view from the window. Oh, dear. That’ s terrible. Not at all what I expected.",2,"It’ s awful, isn’ t it?",2
55,"What do you do in your free time, Nancy? Well, I like playing the violin. Really? How long have you been playing the violin? About ten years so far. I started learning when I was in middle school.",0,That's really interesting.,4
56,"What sports do you like to play? I like baseball and basketball. How about football? In my country football is brand new, so I never learned the game when I was younger.",0,It's a very popular game in America.,0
57,"Yeah. I heard a lot about it. Is it really that fun? For me, it's one of those games that are fun to both watch and play. Are you a football player? No, I just for fun with my friends. We play two hand touch or flag football. We're too old to play tackle football.",0,What is two hand touch and flag football?,0
58,"Instead of tackling somebody, you just have to touch them with two hands, or if it is flag football, grab the flag that the ball carrier is wearing. I see. It's safer then right? Exactly. We play every Saturdays on the field by the tennis courts. If you want to learn and play a little, you're welcome to join us. I'll give it a try. Give me a call and let's go down together.",4,Ok. I'll call you Saturday morning.,4
59,"What upsets you? My parents called. As usual, they reminded me again that I should have a plan to marry by my late 20s. Easier said then done. Who should I marry? I have no time to go on a date. It is not your mother finding one for you? I will find one myself, of course. I’ m a modern girl.",0,"Perhaps you can try the three minutes date, the latest type.",0
60,"You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol, I hate that idea. No, there is an updated virgin, three minutes video date. I know an online dating website providing such service with a microphone and webcam, you can sigh for it. You can be face-to-face with a guy talking for maximum three minutes. I don’ t think it makes sense. Three minutes is such a short time. I think you can find out if there is a possibility of romance within the first second of meeting someone, so-called love at first sight.",0,"Anyway, I don’ t want to post my face up for sale on the internet like that.",2
61,"Are you going to the party on Saturday? I was thinking about it. Are you? Yeah, I heard it's going to be a lot of fun. Really? Well, what time does it start?",6,It starts at 8,0
62,"Well, who all is going to be there? Everyone from school. How do you know it's going to be so fun? This party is going to have a DJ, food, and drinks.",4,"Wow, that does sound like it's going to be fun.",4
63,Could you talk to me for a few minutes about my grades? Step into my office for a moment. What is your concern? Am I failing? Let's go on the computer to see what's up. Do you think you are doing well?,0,I am pretty sure that I am in trouble.,5
64,"I can see that you are trying, but where do you think you could improve? I missed a few classes ; I need to make sure I come to school on a regular basis. Having a regular study routine and following it is very important, right? I'll try ; it's hard!",0,Thanks for stopping by!,0
65,"Oh, my God! I've been cheated! What? What did you buy? It's a brick! I can't believe how stupid I was. Damn it! What is it? Why did you buy a brick?",0,"There was a guy on the sidewalk.He had three new boxes, Panasonic video camera boxes.He said he had to get rid of them quick.",1
66,And? So he said he'd sell me one for twenty dollars. A four-hundred-dollar camera for twenty bucks. And it's a brick? Yes.,0,I can't believe how stupid you are. Why didn't you open the box?,6
67,"I wanted to. But he said, no, the box is still in its plastic wrap from the store.If it's opened, other people won't believe it's new. So he had the boxes wrapped in plastic. Yes, it was the kind of perfect plastic wrap that comes with new products.Look, it even had a bar-code price sticker on it! It looked brand new. But why would a guy be selling new video cameras for twenty dollars?",0,He said he had to get rid of them. They were stolen.,0
68,"Hey, Mary, what's up? Just so so. Last night I met this great guy at the bar and we had such a wonderful time, so we decided to meet again tonight. Oh, that's exciting. What does this guy look like? Is he hot? Well, I didn't think so at first. But as we started talking, I found him extremely funny and witty. I couldn't stop laughing at his jokes! And we have so much in common. We like the same team, music, and most amazingly, we both love Chinese food! I have the feeling that we are going to be great friends.",0,It seems you two are a good match. What qualities do you look for in a friend?,4
69,"What’ s up? You don’ t look too good. Yeah, my head hurts, that’ s all. I’ Ve been in physics class all day. It’ s killer! I liked physics. It’ s all math, really. arcs, curves, velocity, cool stuff. Yeah, yeah, but today’ s lesson was all about the creation of the universe.",0,A physics class about the creation of the universe? That’ s some pretty unscientific language there. Sounds more religious to me.,0
70,"It’ s all religion. Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion? That’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff. Turtles? Whatever... Look, all that’ s required for the creation of matter an imbalance of particles and anti-particles. At least, that’ s what the math says. Math, sheath. What’ s the evidence? There is evidence! You know Edwin Hubble? He’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe, thus advancing notions of an expanding universe. What would it be expanding from? Well, the Big Bang... DUH!",0,"Anyway, it’ s just a theory. Why do people go around touting theories? Where’ s the scientific rigor in that?",0
71,"Today more and more people advocate lifelong learning. But people have different views about lifelong learning. How do you understand lifelong learning? I think lifelong learning is the concept that it's never too soon or too late for learning Does that mean studying all the time? I don't think so. I think it's about your attitude towards learning. One should be open to new ideas, decisions, skills or behaviors.",0,Then the axiom - ' You can't teach an old dog new tricks ' doesn't work any longer.,0
72,"You're right. Lifelong learning is about finding learning opportunities at all ages and in numerous contexts Yes, I agree with you. When I retired I will participate in programs to keep momentally active. Me too. To keep up with the changing world, one must be involved in lifelong learning and be ready to accept new things. You know what? I've recently been teaching myself French.",0,Really? That's great! I know that your company has a lot of clients in France.,6
73,It smells like an ashtray in here! Hi honey! What’ s wrong? Why do you have that look on your face? What’ s wrong? I thought we agreed that you were gonna quit smoking. No! I said I was going to cut down which is very different. You can’ t just expect me to go cold turkey overnight!,0,"Look, there are other ways to quit. You can try the nicotine patch, or nicotine chewing gum. We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place. It’ s not like you can just light up like before.",1
74,"It seems that you get antsy when you hear I praise another guy. I get antsy not because you praise a guy, but because you may be taken for a ride by a guy like him. How come you think of him that way? Because you seem to have lost your vigilance. You should be on the watch out.",2,I have no reason to distrust him. He's never caused any harm.,0
75,"Have you signed up to join the company’ s Christmas party? Sure, I have. Will you join? I will. You know, as a newcomer, I think it might be a good opportunity to get to know people from the other departments of our company in a more relaxed atmosphere. You are right. Our company’ s Christmas party has always been an amazing occasion for everybody to relax and get to know each other better. It is also a time to make new friends and do some networking.",0,I hope that it is not a formal one when the boss is there.,0
76,"hi, Emily, do you know that guy over there? The tall one? Sure, that's Drive, he works with Lily. He is cute.What dose he do? I'm not sure, he is a manager I think.",0,Really? Are you going to introduce us?,6
77,"You didn't ring me last night. You said you would. I'm sorry to have made you disappointed. That's all right. But why were you so rude to me at lunch. Was I? Sorry, I didn’ t mean to be. I do apologize.",6,And why are you yarning now? Are you bored?,0
78,"Hi, Nicole. Did you have a good weekend? Yes, I did. But I feel tired today. Really? Why? Well, on Saturday I cleaned the house and played tennis. Then on Sunday I hiked in the country.",0,"And I bet you studied, too.",0
79,"What’ s the life expectancy in your country? I’ m not sure, but probably about 75 years. How about in your country? About 70, I think. This newspaper article talks about the problems of an aging population. It’ s a problem that will soon affect most of the world. I heard that the government might need to increase the retirement age, because otherwise there will not be enough workers to support the young and the elderly.",0,Perhaps we need to have more babies! Tina gave birth to a baby boy yesterday.,0
80,"Did she? That’ s great. However, if we have too many children, that will have a bad effect on the enviroment. How’ s your son these days? Oh, he’ s fine. Kids seem to grow up very quickly nowadays. He’ ll be a teenager before you know it! Teenagers are often rebellious! When do you mine it is a good age to have a child?",0,"I had mine when I was 24. that’ s a little young. I’ d suggest you wait until you are in your late twenties., or even in your early thirties if you have a good career.",0
81,"Yes, I think you’ re right. I’ m thinking about having a child, but not just yet. Is there a big generation gap between parents and their children in you country? Yes, there is. Teenagers do not want to live traditional lives. They want to go out, have fun, and explore the world. They want to develop their own view of life. Parents usually try to discourage them, but they don’ t often succeed. Parents usually give their children more freedom in my country. Sometimes they give them too much freedom.",0,"It’ s almost impossible to get the right balance. If you are too strict, kids might ignore you. If you are too lenient, they might go wild.",0
82,"Hey, Mark, long time no see. Julie! It's good to see you again. How have you been? Great. I just got back from a week's vacation in Thailand. Really? How was it?",4,Fantastic! I didn't want to come back.,4
83,"I hear the beaches in Thailand are beautiful. They are. And not only that the people are friendly, but also the food is delicious, not to mention cheap. I do like Thai food. Did you see much of Bangkok? Not much. I've got enough city life in Beijing.",4,I know what you mean. I could use a vacation myself.,4
84,"Could I see the manager please? I have a complaint to make. Yes, I’ m the manager here. What can I do for you, Madam? Did you have the room checked before we move in? Which room are you in?",0,"1808. The toilet doesn’ t work properly, the water doesn’ t run in the shower.",0
85,"Congratulations, Vivian. You won the grand prize, again. Isn't it just great! I just knew I'd win! You did? How? Did you wear red underwear again this year? Not only that!",0,Tell me! Tell me! What's your secret?!,0
86,"You'v been work here for nearly a month, how do you feel about the job? Not bad.Thank you for your help. I am always busy with this job, I feel a bit tired. I had the same feeling when I first came to work here. but after a period of time, I feel better, I am sure you ' ll get used to this busy job. I also feel that work efficiency here is very high. and you have strong working ability and professional skill, it seems that you know all, that's really wonderful!",0,"You know the phrase, the survival the fittest. We have no choices.",0
87,"Excuse me, is this seat taken? No, please feel free. Thanks a lot. Do you work in Shanghai?",0,Yes I do. How about you?,0
88,"Look at this headline, Soo Mi. Wow! So many people in the United States get divorced! Is it the same in Korea? I don't think so. In Korea some marriages break up, but most couples stay together.",0,Do people get married young?,0
89,"How was your education going on in Australia? I'm going to graduate this summer. Where are you going to work then, in Australia or back in China? I'm planning to return to China after graduation.",0,Why are you choosing to leave a foreign country? Many people are reluctant to leave the superior living environment abroad.,0
90,"Do you have any particular hobbies, Tom? Oh, yes. I love playing badminton, table tennis and computer games. And playing the games has become my favorite. I hear many teenagers will spend hours and hours sitting at computers. And they don't care about their own health at all. How about you? I'm no better than them. They say it's mindless to sit in front of a machine all the time, but I think it's stimulating.",0,"You won't play online games full of violence, will you?",0
91,"What’ s the plot of your new movie? It’ s a story about a policemen who is investigating a series of strange murders. I play the part of the detective. He has to catch the killer, but there’ s very little evidence. It’ s a psychological th Did you enjoy making the movie? We heard stories of disagreement with other actors and with the director. I have had disagreement with every director. I’ Ve worked with. We’ Ve always disagreed in a friendly way and we have always resolved our differences. It was the same when I made this movie. I don’ t no",0,Critics are not very happy with the movies that you’ Ve made recently. Does that bother you?,0
92,"Not at all. The feedback from audience has been great. I care about what they think more than what the critics think. Did you do you own stunts in the movie? I wanted to, but my insurance company wouldn’ t let me. All of my stunts were done by a stuntman. As you know, I used to do my own stunts, but I’ ll leave that to the experts in future. Thank you very much for doing this interview.",4,My pleasure. Have you seen the movie yet?,4
93,"What did you say? I said it's a lovely day. Why don't we go for a walk? Well, I feel a little tired. Come on! A little labor, much health.",0,Then can you wait a few minutes? I want to finish writing this letter.,0
94,"Thank god you showed up when you did! He’ s insane! Do you think we should call the police? Don’ t worry about it, I’ ll call my friend and have him take care of it. I can’ t believe he was stalking you all these years. What a nut job! I know! Well... he said I’ m not pregnant. I’ m sorry if I got you all worked up over nothing. I want you to know that I didn’ t do it on purpose... Don’ t apologize! From the moment I met you, not a day has gone by when I haven’ t thought of you.And now that I’ m with you again, I’ m... I’ m just scared, Veronica. The closer I get to you, the worse it gets. The thought of not being with you, I mean, I just can’ t handle it! We were made for each other, Veronica. You are my everything, my soul mate. What can I do?",0,"Just hold me... I’ ll always be here for you, no matter what. And together, we can tackle whatever life throws at us. I believe in us, steven.",0
95,"Zina, can I talk to you about something personal? As long as it doesn't take too long. My boyfriend says I work too much. That I spend more time with you than with him. Was he upset when you told him you had to leave this weekend?",0,"He said not to bother coming back. And I said, fine, I won't.",0
96,"Mary, how was your date with john? it's ok. It seems we have a lot in common. oh, really. That is great news. What does he look like? he is tall and slim, fair-haired.",0,sounds like he is pretty cute. What do you think of him?,0
97,"he is a nice guy and very considerate. I was impressed with how smart he was and he has a great sense of humor. oh, it's love at first sight. When will you see each other again? he didn't say, but he said he would call me. maybe he is busy with his work. Just wait and try not to think about it too much!",0,"oh, steve. Stop it! I am a bit nervous! What if he doesn't call?",0
98,"Hi, Francis, how was your business trip? It was a nightmare. What’ s up? Actually, the business trip itself was very successful. We arrived on time, we had nice conversations and we settled some important issues for the next year.",0,"Sounds quite fruitful, why do you call it still a nightmare then?",0
99,Which pair of jeans do you like best? I really like the straight legs. But they aren't very fashionable. What about these? I don't like the way they sag down. I feel like I have plumber butt in them.,0,That's the style! You just wear boxers.,0
100,"Hi, Charles. What's the matter? Oh!! My car isn't working. I'm waiting for a tow-truck. Do you have a ride home? Yes, my wife is coming to get me.",4,That's good. Do you live near here?,4
101,"No, we live in the suburbs. What about you? I live downtown, with my parents. Do you have a car? I don't need a car. I walk to work.",4,You're lucky!,4
102,"Happy anniversary, sweetheart! Yes. to our first anniversary and many more to come. Cheers! I'll drink to that. Thanks for making this a night worth remembering. Well, it's a special day. They say if you survive the first year, the rest is smooth sailing.",4,"That's good to know. Oh, listen! The band's playing our song.",4
103,"Cigarette? Oh, uh... Thanks. Henry, do you have a light? Sorry, here. Thanks. Lovely day. Pity I’ m on duty.",0,I’ ll stand in with you if you like. I’ Ve got nothing else to do.,0
104,"Hi Rose, what are you busy with right now? Hi Jack, I'm working on these documents. The manager wants them for half an hour. Well, Rose. Is there something any need?",0,Are your free this weekend?,0
105,"Yes, I have nothing to do. Great, Is it convenient if i visit you this weekend? I beg your pardon? I'd like to call on you this weekend. I just want to a drop in for a chat.",0,"Really? well, ok, you're welcome.",6
106,"Is 5 PM. Saturday a good time for you? Hmm, how about seven? I can treat you to dinner. Sure, that would be great. I'll bring the wine. OK. Then I'll be expecting you.",4,I'll be there on time.,0
107,"How do you shoot pool? You have 16 balls on the table, 7 solid colored, 7 striped colored, a black 8 ball, and the white ball. And? You hit the white ball with your cue. The white ball hits the colored balls. And you want to get the colored balls into the pockets.",0,How do you know whether you should hit the solid or the striped one?,0
108,"The mosquitos are biting me! Me, too, I can’ t stop scratching. They are everywhere! Sneaky little jerks. Do you have any bug spray? No, I forgot to buy some.",0,Then we’ ll have to put up with it.,0
109,"Stop running around in front of the TV, will you? Why don't you just sit and watch? I've tried, but I can't stand the bald man talking so loudly in the program. Then stay away. No one is keeping you from doing that. Don't be so irritable. I just don't understand the program, that's all.",0,"All right, I will explain it to you later on. Now scram.",0
110,"Okay, can I ask you something direct? Ha! It's not like you've ever been one to beat around the bush. Fair enough. Give it to me straight. Did she bully you into this? No, seriously... I really want this.",0,"I tell ya, when I got the invite, it really threw me for a loop. You've done a complete 180.",0
111,My daughter plans to quit her present job and wants to find another. She says she wants to get a better job with higher pay. It seems quite normal to me. It is pretty much what I want to do. But what about settling down to start a family? Doesn't anyone want to get married any more? It is different now. The world is becoming colorful. Some of my friends don't feel the same pressure to marry. We all want to wait for the right moment.,0,What time is the right moment?,0
112,"are you still coming to my place for dinner tomorrow night? of course. Is the dinner still on? yes, I was just wondering how you and your roommate were planning on coming to my place. we were planning on walking both ways since the weather is still nice.",0,"that's what I thought you would do. Listen, I live in a bit of a rough neighborhood. It's just down the street from all the bars. You probably don't want to be walking around after dark.",0
113,"it can't be that bad. I wish it wasn't, but there is actually a lot of crime and prostitution around here. really? I never would have guessed. The criminals must only come out in the evenings, because I've never noticed anything strange when I've been at your house in the daytime. do me a favor, and take a taxi. It'd make me feel a lot better.",0,"ok, we will. How do you get around in the evenings?",0
114,"What do you need? I need to use the Internet. You have your library card, right? Yes, I do.",0,There is a wait right now to use the computers.,0
115,That’ s fine. Would you please write your name on this list? Then what? I will call you when a computer is free.,0,How do I log on to the computer?,0
116,What a nice tie you are wearing! Thank you.But does it really look all right? Certainly.It matches your suit perfectly. Then does it go well with my sweater?,4,Yes.You look very smart today.,4
117,"What do you make of the case? If you ask me, I don’ t think it’ s guilty. What do you mean by saying so? I mean it’ s not his fault.",0,"Oh, yeah?",0
118,I have a real problem when I meet people. What is it? Maybe I can help. I never know when to shake hands and when not to. Can you tell me something about it? Do you come from a country where they shake hands?,0,"Oh yes. Men, women, and children shake hands all the time.",0
119,"It’ s very simple. Men shake hands, women and children don’ t. But some women do shake hands. And now a lot of children have such good manners, they shake hands too. Well, a good rule to follow is, for men you hold out your hand, for women and children, you wait and see what they do. That sounds easy enough.",4,"Sure. Once you get the hang of it, it’ s a piece of cake! It’ s nothing to worry about.",4
120,"Sam, I am so sorry. It was your birthday yesterday and I completely forgot about it. Don't worry about it. I keep forgetting everyone's birthdays as well. Margaret really told me off when she found out that I had forgotten all about it. We did try to phone you, but you and Jane must have gone out. Yes, Jane invited me for dinner to this new restaurant which opened near us.",0,"Oh, yes, I know the one. How was the food?",0
121,"The food was excellent, but Jane ordered a birthday cake, which they forgot about. So as you can see, you were not the only one. Oh, no. Yes, Jane was quite upset about it. The manager came to apologize and we did get free dessert, but still... I would think this was the least they could do.",0,In the end it was a nice evening and I got an iPad as my birthday present which I wanted for a while.,0
122,"I can't believe Mr. Fro didn't buy it. Who does that guy think he is anyway? Bill Gates? He had a lot of nerve telling us our ads sucked. Time to order. Balista, today I want a skinny triple latte. When did you start worrying about your weight?",0,I'm not. I just don't feel like drinking whole milk today. Why? Do you think I'm fat?,0
